"","participant","list","gender","age","itemNr","ID","expression","response"
"1","1","AB","f","35+",1,"controlA1","control",1
"2","1","AB","f","35+",2,"vya1","vya",3
"3","1","AB","f","35+",3,"moa2","moa",3
"4","1","AB","f","35+",4,"possNP1","possNP",5
"5","1","AB","f","35+",5,"kuaauka2","kuaauka",5
"6","1","AB","f","35+",6,"haimete1","haimete",1
"7","1","AB","f","35+",7,"hecha2","hecha",3
"8","1","AB","f","35+",8,"mombeu1","mombeu",1
"9","1","AB","f","35+",9,"topa2","topa",3
"10","1","AB","f","35+",10,"controlA2","control",1
"11","1","AB","f","35+",11,"hechauka1","hechauka",5
"12","1","AB","f","35+",12,"kuaa2","kuaa",3
"13","1","AB","f","35+",13,"cos1","cos",3
"14","1","AB","f","35+",14,"hendu2","hendu",3
"15","1","AB","f","35+",15,"nte1","nte",1
"16","1","AB","f","35+",16,"juhu2","juhu",3
"17","1","AB","f","35+",17,"hechakuaa1","hechakuaa",1
"18","1","AB","f","35+",18,"hei2","hei",1
"19","1","AB","f","35+",19,"NRRC1","NRRC",5
"20","1","AB","f","35+",20,"controlA3","control",3
"21","1","AB","f","35+",21,"controlB1","control",1
"23","1","AB","f","35+",23,"moa1","moa",3
"24","1","AB","f","35+",24,"possNP2","possNP",5
"25","1","AB","f","35+",25,"kuaauka1","kuaauka",5
"26","1","AB","f","35+",26,"haimete2","haimete",3
"27","1","AB","f","35+",27,"hecha1","hecha",1
"28","1","AB","f","35+",28,"mombeu2","mombeu",5
"29","1","AB","f","35+",29,"topa1","topa",5
"30","1","AB","f","35+",30,"controlB2","control",1
"31","1","AB","f","35+",31,"hechauka2","hechauka",5
"32","1","AB","f","35+",32,"kuaa1","kuaa",5
"33","1","AB","f","35+",33,"cos2","cos",3
"34","1","AB","f","35+",34,"hendu1","hendu",5
"35","1","AB","f","35+",35,"nte2","nte",5
"36","1","AB","f","35+",36,"juhu1","juhu",5
"37","1","AB","f","35+",37,"hechakuaa2","hechakuaa",5
"38","1","AB","f","35+",38,"hei1","hei",5
